area,rank,title
Semantic segmentation,1,Naive-Student: Leveraging Semi-Supervised Learning in Video Sequences for Urban Scene Segmentation
Semantic segmentation,2,Searching for MobileNetV3
Semantic segmentation,3,FEELVOS: Fast End-to-End Embedding Learning for Video Object Segmentation
Semantic segmentation,4,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation
Semantic segmentation,5,Searching for Efficient Multi-Scale Architectures for Dense Image Prediction
Semantic segmentation,6,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation
Semantic segmentation,7,MobileNetV2: Inverted Residuals and Linear Bottlenecks
Semantic segmentation,8,Rethinking Atrous Convolution for Semantic Image Segmentation
Semantic segmentation,9,Mask R-CNN
Semantic segmentation,10,Pyramid Scene Parsing Network
Semantic segmentation,11,"DeepLab: Semantic Image Segmentation with Deep Convolutional Nets, Atrous Convolution, and Fully Connected CRFs"
Semantic segmentation,12,Deep Residual Learning for Image Recognition
Semantic segmentation,13,ParseNet: Looking Wider to See Better
Semantic segmentation,14,Semantic Image Segmentation with Deep Convolutional Nets and Fully Connected CRFs
Semantic segmentation,15,The surprising impact of mask-head architecture on novel class segmentation
Semantic segmentation,16,BEiT: BERT Pre-Training of Image Transformers
Semantic segmentation,17,SegFormer: Simple and Efficient Design for Semantic Segmentation with Transformers
Semantic segmentation,18,Learning to Segment Every Thing
Semantic segmentation,19,PointRend: Image Segmentation as Rendering
Semantic segmentation,20,TensorMask: A Foundation for Dense Object Segmentation
Semantic segmentation,21,Panoptic Feature Pyramid Networks
Semantic segmentation,22,Panoptic-DeepLab
Semantic segmentation,23,Pointly-Supervised Instance Segmentation
Semantic segmentation,24,Path Aggregation Network for Instance Segmentation
Semantic segmentation,25,Seesaw Loss for Long-Tailed Instance Segmentation
Semantic segmentation,26,FCOS: A simple and strong anchor-free object detector
Semantic segmentation,27,DetectoRS: Detecting Objects with Recursive Feature Pyramid and Switchable Atrous Convolution
Semantic segmentation,28,A novel Region of Interest Extraction Layer for Instance Segmentation
Semantic segmentation,29,ResNeSt: Split-Attention Networks
Semantic segmentation,30,CentripetalNet: Pursuing High-quality Keypoint Pairs for Object Detection
Semantic segmentation,31,CBNet: A Novel Composite Backbone Network Architecture for Object Detection
Semantic segmentation,32,Deep High-Resolution Representation Learning for Visual Recognition
Semantic segmentation,33,MMDetection: Open MMLab Detection Toolbox and Benchmark
Semantic segmentation,34,CARAFE: Content-Aware ReAssembly of FEatures
Semantic segmentation,35,YOLACT: Real-time Instance Segmentation
Semantic segmentation,36,Mask Scoring R-CNN
Semantic segmentation,37,Hybrid Task Cascade for Instance Segmentation
Semantic segmentation,38,"Deformable ConvNets v2: More Deformable, Better Results"
Semantic segmentation,39,"How to train your ViT? Data, Augmentation, and Regularization in Vision Transformers"
Semantic segmentation,40,XCiT: Cross-Covariance Image Transformers
Semantic segmentation,41,Twins: Revisiting the Design of Spatial Attention in Vision Transformers
Semantic segmentation,42,Co-Scale Conv-Attentional Image Transformers
Semantic segmentation,43,Swin Transformer: Hierarchical Vision Transformer using Shifted Windows
Semantic segmentation,44,Scaling Local Self-Attention for Parameter Efficient Visual Backbones
Semantic segmentation,45,LambdaNetworks: Modeling Long-Range Interactions Without Attention
Semantic segmentation,46,RepVGG: Making VGG-style ConvNets Great Again
Semantic segmentation,47,Evolving Normalization-Activation Layers
Semantic segmentation,48,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks
Semantic segmentation,49,Bag of Tricks for Image Classification with Convolutional Neural Networks
Semantic segmentation,50,Fully Convolutional Networks for Semantic Segmentation
Semantic segmentation,51,FDA: Fourier Domain Adaptation for Semantic Segmentation
Semantic segmentation,52,Unsupervised Learning of Object Keypoints for Perception and Control
Semantic segmentation,53,Is Heuristic Sampling Necessary in Training Deep Object Detectors?
Semantic segmentation,54,Video-to-Video Synthesis
Semantic segmentation,55,Emerging Properties in Self-Supervised Vision Transformers
Semantic segmentation,56,Rethinking ImageNet Pre-training
Semantic segmentation,57,Learning Strict Identity Mappings in Deep Residual Networks
Semantic segmentation,58,Self-Supervised Learning with Swin Transformers
Semantic segmentation,59,High-Resolution Image Synthesis and Semantic Manipulation with Conditional GANs
Semantic segmentation,60,Micro-Batch Training with Batch-Channel Normalization and Weight Standardization
Semantic segmentation,61,U-Net: Convolutional Networks for Biomedical Image Segmentation
Semantic segmentation,62,Lite-HRNet: A Lightweight High-Resolution Network
Semantic segmentation,63,PaddleSeg: A High-Efficient Development Toolkit for Image Segmentation
Semantic segmentation,64,Attention-guided Context Feature Pyramid Network for Object Detection
Semantic segmentation,65,SOLOv2: Dynamic and Fast Instance Segmentation
Semantic segmentation,66,SOLO: Segmenting Objects by Locations
Semantic segmentation,67,HarDNet: A Low Memory Traffic Network
Semantic segmentation,68,High-Resolution Representations for Labeling Pixels and Regions
Semantic segmentation,69,FCOS: Fully Convolutional One-Stage Object Detection
Semantic segmentation,70,Microsoft COCO: Common Objects in Context
Semantic segmentation,71,Simple Training Strategies and Model Scaling for Object Detection
Semantic segmentation,72,Simple Copy-Paste is a Strong Data Augmentation Method for Instance Segmentation
Semantic segmentation,73,Rethinking Pre-training and Self-training
Semantic segmentation,74,"Fashionpedia: Ontology, Segmentation, and an Attribute Localization Dataset"
Semantic segmentation,75,ShapeMask: Learning to Segment Novel Objects by Refining Shape Priors
Semantic segmentation,76,UNet++: A Nested U-Net Architecture for Medical Image Segmentation
Semantic segmentation,77,Recalibrating Fully Convolutional Networks with Spatial and Channel 'Squeeze & Excitation' Blocks
Semantic segmentation,78,Unified Perceptual Parsing for Scene Understanding
Semantic segmentation,79,Semantic Understanding of Scenes through the ADE20K Dataset
Semantic segmentation,80,YOLACT++: Better Real-time Instance Segmentation
Semantic segmentation,81,Deformable Convolutional Networks
Semantic segmentation,82,LinkNet: Exploiting Encoder Representations for Efficient Semantic Segmentation
Semantic segmentation,83,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation
Semantic segmentation,84,Learning to Refine Object Segments
Semantic segmentation,85,Tencent ML-Images: A Large-Scale Multi-Label Image Database for Visual Representation Learning
Semantic segmentation,86,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era
Semantic segmentation,87,EdgeFlow: Achieving Practical Interactive Segmentation with Edge-Guided Flow
Semantic segmentation,88,Rethinking BiSeNet For Real-time Semantic Segmentation
Semantic segmentation,89,Rethinking Semantic Segmentation from a Sequence-to-Sequence Perspective with Transformers
Semantic segmentation,90,Improving Semantic Segmentation via Decoupled Body and Edge Supervision
Semantic segmentation,91,Disentangled Non-Local Neural Networks
Semantic segmentation,92,Hierarchical Multi-Scale Attention for Semantic Segmentation
Semantic segmentation,93,UNet 3+: A Full-Scale Connected UNet for Medical Image Segmentation
Semantic segmentation,94,BiSeNet V2: Bilateral Network with Guided Aggregation for Real-time Semantic Segmentation
Semantic segmentation,95,"Panoptic-DeepLab: A Simple, Strong, and Fast Baseline for Bottom-Up Panoptic Segmentation"
Semantic segmentation,96,Segmentation Transformer: Object-Contextual Representations for Semantic Segmentation
Semantic segmentation,97,Asymmetric Non-local Neural Networks for Semantic Segmentation
Semantic segmentation,98,Expectation-Maximization Attention Networks for Semantic Segmentation
Semantic segmentation,99,Interlaced Sparse Self-Attention for Semantic Segmentation
Semantic segmentation,100,Gated-SCNN: Gated Shape CNNs for Semantic Segmentation
Semantic segmentation,101,Fast-SCNN: Fast Semantic Segmentation Network
Semantic segmentation,102,Dual Attention Network for Scene Segmentation
Semantic segmentation,103,Attention U-Net: Learning Where to Look for the Pancreas
Semantic segmentation,104,CCNet: Criss-Cross Attention for Semantic Segmentation
Semantic segmentation,105,OCNet: Object Context Network for Scene Parsing
Semantic segmentation,106,PSANet: Point-wise Spatial Attention Network for Scene Parsing
Semantic segmentation,107,Context Encoding for Semantic Segmentation
Semantic segmentation,108,Efficient Attention: Attention with Linear Complexities
Semantic segmentation,109,PP-LCNet: A Lightweight CPU Convolutional Neural Network
Semantic segmentation,110,Beyond Self-Supervision: A Simple Yet Effective Network Distillation Alternative to Improve Backbones
Semantic segmentation,111,HS-ResNet: Hierarchical-Split Block on Convolutional Neural Network
Semantic segmentation,112,Rethinking Channel Dimensions for Efficient Model Design
Semantic segmentation,113,GridMask Data Augmentation
Semantic segmentation,114,Hide-and-Seek: A Data Augmentation Technique for Weakly-Supervised Localization and Beyond
Semantic segmentation,115,Recovering Realistic Texture in Image Super-resolution by Deep Spatial Feature Transform
Semantic segmentation,116,BoxInst: High-Performance Instance Segmentation with Box Annotations
Semantic segmentation,117,Mask Encoding for Single Shot Instance Segmentation
Semantic segmentation,118,Conditional Convolutions for Instance Segmentation
Semantic segmentation,119,BlendMask: Top-Down Meets Bottom-Up for Instance Segmentation
Semantic segmentation,120,Segmentation Loss Odyssey
Semantic segmentation,121,UNETR: Transformers for 3D Medical Image Segmentation
Semantic segmentation,122,Contextual Transformer Networks for Visual Recognition
Semantic segmentation,123,EPSANet: An Efficient Pyramid Squeeze Attention Block on Convolutional Neural Network
Semantic segmentation,124,RepMLP: Re-parameterizing Convolutions into Fully-connected Layers for Image Recognition
Semantic segmentation,125,Beyond Self-attention: External Attention using Two Linear Layers for Visual Tasks
Semantic segmentation,126,SA-Net: Shuffle Attention for Deep Convolutional Neural Networks
Semantic segmentation,127,SEN12MS -- A Curated Dataset of Georeferenced Multi-Spectral Sentinel-1/2 Imagery for Deep Learning and Data Fusion
Semantic segmentation,128,Improving Convolutional Networks With Self-Calibrated Convolutions
Semantic segmentation,129,SINet: Extreme Lightweight Portrait Segmentation Networks with Spatial Squeeze Modules and Information Blocking Decoder
Semantic segmentation,130,Feature Pyramid Encoding Network for Real-time Semantic Segmentation
Semantic segmentation,131,DABNet: Depth-wise Asymmetric Bottleneck for Real-time Semantic Segmentation
Semantic segmentation,132,ESNet: An Efficient Symmetric Network for Real-time Semantic Segmentation
Semantic segmentation,133,DiCENet: Dimension-wise Convolutions for Efficient Networks
Semantic segmentation,134,LEDNet: A Lightweight Encoder-Decoder Network for Real-Time Semantic Segmentation
Semantic segmentation,135,An Energy and GPU-Computation Efficient Backbone Network for Real-Time Object Detection
Semantic segmentation,136,"ESPNetv2: A Light-weight, Power Efficient, and General Purpose Convolutional Neural Network"
Semantic segmentation,137,CGNet: A Light-weight Context Guided Network for Semantic Segmentation
Semantic segmentation,138,Efficient Dense Modules of Asymmetric Convolution for Real-Time Semantic Segmentation
Semantic segmentation,139,BiSeNet: Bilateral Segmentation Network for Real-time Semantic Segmentation
Semantic segmentation,140,ContextNet: Exploring Context and Detail for Semantic Segmentation in Real-time
Semantic segmentation,141,ERFNet: Efficient Residual Factorized ConvNet for Real-time Semantic Segmentation
Semantic segmentation,142,Dilated Residual Networks
Semantic segmentation,143,ICNet for Real-Time Semantic Segmentation on High-Resolution Images
Semantic segmentation,144,ENet: A Deep Neural Network Architecture for Real-Time Semantic Segmentation
Semantic segmentation,145,SegNet: A Deep Convolutional Encoder-Decoder Architecture for Image Segmentation
Semantic segmentation,146,Fully Convolutional Instance-aware Semantic Segmentation
Semantic segmentation,147,Rich feature hierarchies for accurate object detection and semantic segmentation
Semantic segmentation,148,PointNet++: Deep Hierarchical Feature Learning on Point Sets in a Metric Space
Semantic segmentation,149,Automated Design of Deep Learning Methods for Biomedical Image Segmentation
Semantic segmentation,150,COCO-Stuff: Thing and Stuff Classes in Context
Semantic segmentation,151,Co-Occurrent Features in Semantic Segmentation
Semantic segmentation,152,Generating Masks from Boxes by Mining Spatio-Temporal Consistencies in Videos
Semantic segmentation,153,Learning What to Learn for Video Object Segmentation
Semantic segmentation,154,Towards End-to-End Lane Detection: an Instance Segmentation Approach
Semantic segmentation,155,"DeepFashion2: A Versatile Benchmark for Detection, Pose Estimation, Segmentation and Re-Identification of Clothing Images"
Semantic segmentation,156,Recurrent Residual Convolutional Neural Network based on U-Net (R2U-Net) for Medical Image Segmentation
Semantic segmentation,157,Temporal RoI Align for Video Object Recognition
Semantic segmentation,158,Polarized Self-Attention: Towards High-quality Pixel-wise Regression
Semantic segmentation,159,VOLO: Vision Outlooker for Visual Recognition
Semantic segmentation,160,3D Semantic Segmentation with Submanifold Sparse Convolutional Networks
Semantic segmentation,161,UNet++: Redesigning Skip Connections to Exploit Multiscale Features in Image Segmentation
Semantic segmentation,162,ChainerCV: a Library for Deep Learning in Computer Vision
Semantic segmentation,163,Atlas: End-to-End 3D Scene Reconstruction from Posed Images
Semantic segmentation,164,What Makes for Good Views for Contrastive Learning?
Semantic segmentation,165,Improving Semantic Segmentation via Video Propagation and Label Relaxation
Semantic segmentation,166,4D Spatio-Temporal ConvNets: Minkowski Convolutional Neural Networks
Semantic segmentation,167,Rethinking Self-supervised Correspondence Learning: A Video Frame-level Similarity Perspective
Semantic segmentation,168,Learning a Discriminative Feature Network for Semantic Segmentation
Semantic segmentation,169,Conditional Random Fields as Recurrent Neural Networks
Semantic segmentation,170,Understanding Humans in Crowded Scenes: Deep Nested Adversarial Learning and A New Benchmark for Multi-Human Parsing
